company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/organization/16-mile-solutions,16 Mile Solutions,|Software|,Software,USA,WA,Seattle,Seattle,/funding-round/3a671cf6f08fe5d0a878f5627134384c,venture,,2009-06-11T00:00:00,2009-06, 2009-Q2 ,2009.0,"199,957"
/organization/169-st,169 ST.,|Entertainment|Games|,Games,USA,FL,Orlando,Lake Mary,/funding-round/83b14cdf635963a5abc50cdafd9b462d,angel,,2009-06-01T00:00:00,2009-06, 2009-Q2 ,2009.0,"50,000"
/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/funding-round/b84bb882ca873f5fb96535671981196d,venture,a,2002-04-16T00:00:00,2002-04, 2002-Q2 ,2002.0,"14,000,000"
/organization/17u-cn,17u.cn,|Travel|,Travel,CHN,,Shanghai,Suzhou,/funding-round/1f3e644c0446dca6939bb0f679bfa5ea,venture,C,2012-05-01T00:00:00,2012-05, 2012-Q2 ,2012.0,"1,588,983"
/organization/17u-cn,17u.cn,|Travel|,Travel,CHN,,Shanghai,Suzhou,/funding-round/275f67ca70ae24053ee00310a1472019,venture,A,2008-01-01T00:00:00,2008-01, 2008-Q1 ,2008.0,"479,014"
/organization/17u-cn,17u.cn,|Travel|,Travel,CHN,,Shanghai,Suzhou,/funding-round/678295f15d5661577896c23dbf029fad,venture,C,2014-02-01T00:00:00,2014-02, 2014-Q1 ,2014.0,"82,372,322"
/organization/1871,1871,,,USA,IL,Chicago,Chicago,/funding-round/eb9aa2a41fe562fa69053d43d39f26f2,grant,,2014-06-17T00:00:00,2014-06, 2014-Q2 ,2014.0,"2,500,000"
/organization/19pay,19pay,|Finance|,Finance,CHN,,Beijing,Beijing,/funding-round/61660637eae067a2980ecbc3633ad262,venture,b,2010-01-01T00:00:00,2010-01, 2010-Q1 ,2010.0,"6,230,000"
/organization/19pay,19pay,|Finance|,Finance,CHN,,Beijing,Beijing,/funding-round/6bb228fc57bbea4f884e55bae5c1699b,undisclosed,,2006-01-01T00:00:00,2006-01, 2006-Q1 ,2006.0,
/organization/19pay,19pay,|Finance|,Finance,CHN,,Beijing,Beijing,/funding-round/f76c77002a5d69aa16dd9f7e82db7cc9,undisclosed,,2013-07-01T00:00:00,2013-07, 2013-Q3 ,2013.0,"3,248,511"
/organization/1bib,1bib,|Cars|Curated Web|,Curated Web,CHN,,Guangzhou,Guangzhou,/funding-round/db9507d458c110af3916ade1f6140e1a,venture,a,2008-02-07T00:00:00,2008-02, 2008-Q1 ,2008.0,
