company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/3e-company,3E Company,|Clean Technology|,Clean Technology,USA,CA,San Diego,Carlsbad,/organization/verisk-analytics,Verisk Analytics,|Technology|Public Relations|,Technology,USA,NJ,Newark,Jersey City,2010-12-07T00:00:00,2010-12,2010-Q4,2010.0,"110,000,000",USD
/organization/3leaf,3Leaf,|Web Hosting|,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/huawei,Huawei Technologies,|Security|Storage|Mobile|Wireless|Web Hosting|,Wireless,USA,TX,Dallas,Plano,2011-02-19T00:00:00,2011-02,2011-Q1,2011.0,,USD
/organization/3lm,3LM,|Enterprises|Android|Mobile|,Android,,,,,/organization/motorola-mobility,Motorola Mobility,|Mobile|,Mobile,JPN,,Kochi,Usa,2011-02-14T00:00:00,2011-02,2011-Q1,2011.0,,USD
/organization/3one-media-hawaii,3One Media Hawaii,|Web Hosting|,Web Hosting,USA,HI,Honolulu,Honolulu,/organization/us-internet,US Internet,|Web Hosting|,Web Hosting,USA,MN,Twin Cities,Minnetonka,2001-02-01T00:00:00,2001-02,2001-Q1,2001.0,,USD
/organization/3par,3PAR,|Services|Cloud Data Services|Software|,Services,USA,CA,SF Bay Area,Fremont,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,2010-09-02T00:00:00,2010-09,2010-Q3,2010.0,"2,350,000,000",USD
/organization/3pd-inc,"3PD, Inc.",|None|,None,USA,GA,Atlanta,Marietta,/organization/xpo-logistics,XPO Logistics,|E-Commerce|,E-Commerce,USA,CT,Hartford,Greenwich,2013-08-16T00:00:00,2013-08,2013-Q3,2013.0,"365,000,000",USD
/organization/3ple-media,3ple-Media,,,,,,,/organization/newnet-communication-technologies,NewNet Communication Technologies,|Public Relations|,Public Relations,USA,IL,Washington D.C.,Arlington Heights,2010-10-19T00:00:00,2010-10,2010-Q4,2010.0,,USD
/organization/3rd-federal-bank,3rd Federal Bank,|Banking|,Banking,USA,PA,Philadelphia,Newtown,/organization/national-penn-bancshares,National Penn Bancshares,|Banking|,Banking,USA,PA,Allentown,Allentown,2014-06-04T00:00:00,2014-06,2014-Q2,2014.0,"138,000,000",USD
/organization/3rd-power,3rd Power,|Curated Web|,Curated Web,,,,,/organization/mediabistro-inc,Mediabistro Inc.,|Curated Web|,Curated Web,USA,NY,New York City,New York,2010-01-03T00:00:00,2010-01,2010-Q1,2010.0,,USD
/organization/3rdwhale,3rdWhale,|iPhone|Apps|Sustainability|Green|Mobile|,Apps,,,,,/organization/gengreen,GenGreen,|Databases|Green|Clean Technology|,Databases,,,,,2009-09-30T00:00:00,2009-09,2009-Q3,2009.0,,USD
/organization/3tera,3Tera,|Cloud Computing|Cloud Management|Enterprise Software|,Cloud Computing,USA,CA,Anaheim,Aliso Viejo,/organization/ca,CA Technologies,|Software|,Software,USA,NY,Long Island,Islandia,2010-02-24T00:00:00,2010-02,2010-Q1,2010.0,,USD
/organization/3tier-environmental-forecast-group,3TIER,|Clean Technology|,Clean Technology,USA,WA,Seattle,Seattle,/organization/vaisala,Vaisala,,,FIN,,Vantaa,Vantaa,2013-12-17T00:00:00,2013-12,2013-Q4,2013.0,"14,700,000",USD
/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01T00:00:00,2013-10,2013-Q4,2013.0,"324,000,000",USD
/organization/42networks,42Networks,|Web Hosting|,Web Hosting,SWE,,Stockholm,Kista,/organization/packetfront,PacketFront,|Internet|Software|,Software,SWE,,Stockholm,Stockholm,2006-12-15T00:00:00,2006-12,2006-Q4,2006.0,,USD
/organization/4hak-developers,4hak Developers,|Blogging Platforms|Web Design|Security|Facebook Applications|News|Software|,Software,,,,,/organization/4hak-developers,4hak Developers,|Blogging Platforms|Web Design|Security|Facebook Applications|News|Software|,Software,,,,,2013-07-29T00:00:00,2013-07,2013-Q3,2013.0,"1,858",USD
/organization/4home,4Home,|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|,Cloud Computing,USA,CA,SF Bay Area,Sunnyvale,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,2010-12-01T00:00:00,2010-12,2010-Q4,2010.0,,USD
/organization/4m-wireless,4M Wireless,|Mobile|,Mobile,GBR,,London,Luton,/organization/u-blox-ag,u-blox AG,,,,,,,2012-04-24T00:00:00,2012-04,2012-Q2,2012.0,"9,000,000",USD
/organization/4mads,4Mads,|Startups|Advertising|,Startups,USA,CA,SF Bay Area,San Francisco,/organization/insequent,InSequent,|SMS|Local Businesses|SaaS|Sales and Marketing|Mobile|,Sales and Marketing,USA,CA,SF Bay Area,San Francisco,2012-11-10T00:00:00,2012-11,2012-Q4,2012.0,,USD
/organization/504investor-com,504investor.com,,,,,,,/organization/pivx-solutions,PivX Solutions,|Software|,Software,NZL,,,,2008-10-25T00:00:00,2008-10,2008-Q4,2008.0,,USD
/organization/55bbs-com,55BBS.com,|Curated Web|,Curated Web,,,,,/organization/cnetnetworks,CNET Networks,|Media|Blogging Platforms|News|Reviews and Recommendations|Curated Web|,News,USA,CA,SF Bay Area,San Francisco,2008-06-18T00:00:00,2008-06,2008-Q2,2008.0,,USD
/organization/56-com,56.com,|Photography|,Photography,CHN,,Guangzhou,Guangzhou,/organization/renren-inc,Renren Inc.,|Technology|Social Media|Curated Web|,Technology,CHN,,Jilin,Chaoyang,2011-09-26T00:00:00,2011-09,2011-Q3,2011.0,"80,000,000",USD
/organization/5by,5by,|Photography|,Photography,,,,,/organization/stumbleupon,StumbleUpon,|Search|Content|Curated Web|,Curated Web,USA,NY,New York City,New York,2013-09-24T00:00:00,2013-09,2013-Q3,2013.0,,USD
/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2010-09-28T00:00:00,2010-09,2010-Q3,2010.0,"65,000,000",USD
/organization/5rocks,5Rocks,|Games|,Games,KOR,,Seoul,Seoul,/organization/tapjoy,Tapjoy,|Brand Marketing|Games|Windows Phone 7|Apps|Android|iOS|Mobile|Advertising|,Brand Marketing,USA,CA,SF Bay Area,San Francisco,2014-08-05T00:00:00,2014-08,2014-Q3,2014.0,,USD
/organization/5square-com,5Square.com,|Software|,Software,USA,CA,Los Angeles,Westlake Village,/organization/imagiclab,iMagicLab,|Software|,Software,USA,MD,Baltimore,Owings Mills,2008-07-09T00:00:00,2008-07,2008-Q3,2008.0,,USD
/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,2011-05-01T00:00:00,2011-05,2011-Q2,2011.0,"30,000,000",USD
/organization/60mo,60mo,|Finance|Web Development|Business Development|Accounting|Software|,Finance,GBR,,Edinburgh,Edinburgh,/organization/freeagent-central,FreeAgent,|Software|,Software,GBR,,Edinburgh,Edinburgh,2012-05-03T00:00:00,2012-05,2012-Q2,2012.0,,USD
/organization/6consulting,6Consulting,|Consulting|,Consulting,GBR,,London,Elstree,/organization/radian6,Salesforce Radian6,|Social Media Marketing|Social Media Monitoring|CRM|Curated Web|,CRM,CAN,NS,Fredericton,Fredericton,2011-03-11T00:00:00,2011-03,2011-Q1,2011.0,,USD
/organization/6n-silicon,6N Silicon,|None|,None,CAN,ON,Toronto,Vaughan,/organization/silicor-materials,Silicor Materials,|Manufacturing|,Manufacturing,USA,CA,SF Bay Area,San Jose,2010-02-11T00:00:00,2010-02,2010-Q1,2010.0,,USD
/organization/6th-sense-analytics,6th Sense Analytics,|Software|,Software,USA,NC,Raleigh,Morrisville,/organization/rally-software,Rally Software,|Health and Wellness|Software|Enterprise Software|,Health and Wellness,USA,CO,Denver,Boulder,2009-01-14T00:00:00,2009-01,2009-Q1,2009.0,,USD
/organization/six-waves,6Waves,|Games|,Games,HKG,,Hong Kong Island,Causeway Bay,/organization/six-waves,6Waves,|Games|,Games,HKG,,Hong Kong Island,Causeway Bay,2011-07-18T00:00:00,2011-07,2011-Q3,2011.0,,USD
/organization/72-acre-property,72-Acre Property,,,,,,,/organization/paragon-communications,Paragon Communications,|Public Relations|,Public Relations,USA,MA,Medford,Ashland,2012-08-14T00:00:00,2012-08,2012-Q3,2012.0,,USD
/organization/724-solutions,724 Solutions,,,,,,,/organization/mobixell,Mobixell Networks,|Mobile|,Mobile,USA,CA,SF Bay Area,San Jose,2010-01-22T00:00:00,2010-01,2010-Q1,2010.0,,USD
/organization/798-inc,"798, Inc.",|Games|,Games,GBR,,Newcastle,Newcastle Upon Tyne,/organization/the-fennetic-company,The Fennetic Company,|Games|,Games,,,,,2010-08-12T00:00:00,2010-08,2010-Q3,2010.0,,GBP
/organization/7digital,7digital,|Music|,Music,GBR,,London,London,/organization/ubc-media-group,UBC Media Group,|Advertising|,Advertising,GBR,,London,London,2014-03-18T00:00:00,2014-03,2014-Q1,2014.0,,USD
/organization/7inkjet-com,7inkjet.com,,,,,,,/organization/lexon-technologies,Lexon Technologies,|None|,None,USA,CA,Anaheim,La Mirada,2009-11-05T00:00:00,2009-11,2009-Q4,2009.0,,USD
