permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/1bib,1bib,http://www.1bib.com,|Cars|Curated Web|, Curated Web , -   ,closed,CHN,,Guangzhou,Guangzhou,1.0,2006-01-01T00:00:00,2006-01,2006-Q1,2006.0,2008-02-07T00:00:00,2008-02-07T00:00:00
/organization/1c-company,1C Company,http://1c.ru/eng,|Video Games|Games|Software|, Software ,"200,000,000",,RUS,,Moscow,Moscow,1.0,1991-01-01T00:00:00,1991-01,1991-Q1,1991.0,2011-10-03T00:00:00,2011-10-03T00:00:00
/organization/1calendar,1calendar,http://1calendar.com,|Advertising|Mobile|Internet|Education|, Education ,"40,000",operating,DNK,,Copenhagen,Copenhagen,1.0,2009-01-19T00:00:00,2009-01,2009-Q1,2009.0,2008-04-04T00:00:00,2008-04-04T00:00:00
/organization/1cast,1Cast,http://www.1cast.com,|Lifestyle|Content|Video|News|, Lifestyle , -   ,operating,USA,WA,Seattle,Kirkland,1.0,2006-06-01T00:00:00,2006-06,2006-Q2,2006.0,2008-08-12T00:00:00,2008-08-12T00:00:00
/organization/1click,1CLICK,http://1click.io,|Chat|Mobile|, Chat , -   ,operating,IND,,Bangalore,Bangalore,1.0,2012-11-01T00:00:00,2012-11,2012-Q4,2012.0,2014-01-26T00:00:00,2014-01-26T00:00:00
/organization/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,|Digital Media|File Sharing|Content|Search|Cloud Computing|Enterprise Software|, File Sharing , -   ,operating,SGP,,Central Region,Singapore,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2013-08-01T00:00:00,2013-08-01T00:00:00
/organization/1d4-pty,1d4 Pty,http://www.immortaloutdoors.com,,,"40,000",operating,NOR,,Aust-Agder,,1.0,,,,,2012-04-11T00:00:00,2012-04-11T00:00:00
/organization/1daylater,1DayLater,http://1daylater.com,|Tracking|Curated Web|, Curated Web ,"43,811",operating,,,,,2.0,2009-08-26T00:00:00,2009-08,2009-Q3,2009.0,2009-05-01T00:00:00,2009-10-01T00:00:00
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|, E-Commerce ,"50,000",closed,USA,CA,"Orange County, California",Santa Ana,1.0,2008-06-30T00:00:00,2008-06,2008-Q2,2008.0,2008-06-30T00:00:00,2008-06-30T00:00:00
/organization/1docway,1DocWay,http://1docway.com,|None|, None , -   ,operating,USA,PA,Philadelphia,Philadelphia,1.0,2011-02-01T00:00:00,2011-02,2011-Q1,2011.0,2011-08-10T00:00:00,2011-08-10T00:00:00
/organization/1energy-systems,1Energy Systems,http://1energysystems.com,|Software|, Software ,"1,450,000",operating,USA,WA,Seattle,Seattle,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2013-04-22T00:00:00,2013-04-22T00:00:00
/organization/1eq,1eq,http://www.1eq.me,|Mobile Health|Health and Wellness|, Mobile Health ,"2,100,000",operating,,,,,3.0,2013-03-08T00:00:00,2013-03,2013-Q1,2013.0,2012-07-01T00:00:00,2013-12-23T00:00:00
/organization/1jiajie,1jiajie,http://www.1jiajie.com,|E-Commerce|, E-Commerce ,"163,132",operating,CHN,,Beijing,Beijing,1.0,,,,,2013-09-01T00:00:00,2013-09-01T00:00:00
/organization/1lay,1Lay,http://1lay.com,|Mobile Security|Mobile Devices|Tablets|Mobile|Security|, Mobile Security ,"170,000",operating,,,,,1.0,2013-07-18T00:00:00,2013-07,2013-Q3,2013.0,2014-05-30T00:00:00,2014-05-30T00:00:00
/organization/1life-healthcare,1Life Healthcare,http://www.1life.com,,,"30,000,000",operating,USA,CA,SF Bay Area,San Francisco,1.0,2002-01-01T00:00:00,2002-01,2002-Q1,2002.0,2013-03-21T00:00:00,2013-03-21T00:00:00
/organization/1mind,1Mind,http://1mind.com,|Social Media|, Social Media ,"500,000",operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2013-08-05T00:00:00,2013-08-05T00:00:00
/organization/1o1media,1o1Media,http://www.1o1media.com,|Monetization|Content|Distribution|Film|Video|Marketplaces|Video on Demand|Photography|, Photography , -   ,operating,DEU,,Berlin,Berlin,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2013-10-01T00:00:00,2013-10-01T00:00:00
